"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
0,-9.2301205720932,0.008,1,0,"AGXT2L1","Up in Astrocytes"
0,-9.32597586060167,0.042,1,0,"GJA1","Up in Astrocytes"
3.86511349683607e-288,9.60149328287692,1,0.203,7.55745642036357e-284,"SOX11","Up in Neurons"
2.4916207775823e-261,-6.32018938964189,0,0.594,4.87186610640668e-257,"VIP","Up in Astrocytes"
1.42253804437486e-252,-4.63762066205741,0,0.594,2.78148863816616e-248,"LOC100289473","Up in Astrocytes"
4.04884513207111e-242,-5.32790617121387,0,0.551,7.91670688673864e-238,"TMEM144","Up in Astrocytes"
4.83396995764273e-241,-8.14568151224364,0.025,0.986,9.45186145817884e-237,"AGT","Up in Astrocytes"
9.73281803750505e-238,-5.35389318076176,0,0.551,1.90305791087336e-233,"PARP9","Up in Astrocytes"
5.4995284578494e-218,-5.37397515370728,0,0.522,1.07532279936329e-213,"PRSS35","Up in Astrocytes"
2.45653074378666e-205,-5.2465014062555,0,0.493,4.80325456332605e-201,"SCPEP1","Up in Astrocytes"
6.56444902505846e-199,-6.82318151233582,0.008,0.986,1.28354671786968e-194,"PTGDS","Up in Astrocytes"
6.86567671635385e-197,3.65607463670276,0.378,0,1.34244576834867e-192,"PALMD","Up in Neurons"
1.37156760302651e-196,-4.93191037390643,0,0.493,2.68182613419773e-192,"PHYHD1","Up in Astrocytes"
1.09725718436283e-190,-4.50114563776527,0,0.478,2.14546697258465e-186,"MAOB","Up in Astrocytes"
6.66288833019109e-186,-4.36705840615126,0,0.478,1.30279455520226e-181,"FGF1","Up in Astrocytes"
2.2878851900442e-185,-6.50376420006931,0,1,4.47350191209343e-181,"FGFR3","Up in Astrocytes"
1.51749122392783e-181,-8.07659214454713,0.017,0.971,2.96715059014608e-177,"GRAMD3","Up in Astrocytes"
1.39254132335991e-163,-7.65039924267126,0.017,0.971,2.72283604956563e-159,"RANBP3L","Up in Astrocytes"
1.54520566822637e-161,-7.47269230898286,0.008,0.957,3.02134064308301e-157,"SLC25A18","Up in Astrocytes"
6.92111747686006e-160,-5.24224692044442,0,0.406,1.35328610025045e-155,"HPR","Up in Astrocytes"
1.99291019623941e-153,-4.35007357219475,0,0.478,3.89673730670692e-149,"TMPRSS5","Up in Astrocytes"
1.09880063773119e-152,-3.98511155930515,0,0.406,2.1484848869558e-148,"ACOT11","Up in Astrocytes"
3.33719830171253e-150,-7.65479687316745,0,0.928,6.52522383933851e-146,"GJB6","Up in Astrocytes"
3.564658537873e-149,-6.97213541190552,0,0.942,6.96997683910308e-145,"TPD52L1","Up in Astrocytes"
5.07845957412042e-145,2.97717672580536,0.311,0,9.92991200527765e-141,"FLJ30838","Up in Neurons"
8.01914221507156e-132,-4.01047407455681,0,0.362,1.56798287731294e-127,"P2RY1","Up in Astrocytes"
2.51762017359745e-131,-3.69867745385332,0,0.362,4.92270272543509e-127,"RERG","Up in Astrocytes"
3.97445384857156e-131,-6.69563686054168,0,0.913,7.77124961011196e-127,"SDC4","Up in Astrocytes"
7.35014249643542e-131,-5.28487727932298,0,0.333,1.43717336232802e-126,"CXCL2","Up in Astrocytes"
5.11242154485122e-130,7.51253943577933,0.866,0.043,9.99631784664759e-126,"NEUROD6","Up in Neurons"
6.26508383888849e-130,2.88435824405359,0.269,0,1.22501184301787e-125,"RAB33A","Up in Neurons"
9.19925353461226e-123,-3.8346119080901,0,0.348,1.79873004362274e-118,"RLBP1","Up in Astrocytes"
9.83485930879072e-123,-3.65057298622266,0,0.348,1.92301004064785e-118,"HAP1","Up in Astrocytes"
3.28998532809949e-116,-9.00453948095752,0.059,1,6.43290831203293e-112,"ATP1A2","Up in Astrocytes"
4.15252393006994e-114,-7.05136493402672,0,0.884,8.11943004046575e-110,"SLC39A12","Up in Astrocytes"
6.77998685297901e-113,-4.02045369364372,0,0.319,1.32569082936299e-108,"TMEM176B","Up in Astrocytes"
2.51972090096151e-110,6.40348710647561,1,0.812,4.92681027765003e-106,"SOX4","Up in Neurons"
4.61566327107001e-110,-7.8202199749083,0.008,0.971,9.0250063939232e-106,"PPAP2B","Up in Astrocytes"
2.01735523052184e-103,-6.3707774644902,0.008,0.928,3.94453468223935e-99,"MERTK","Up in Astrocytes"
3.2611019048866e-102,-9.48990865888829,0.042,1,6.37643255462477e-98,"AQP4","Up in Astrocytes"
